Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-04-01,108.779999,110,108.199997,109.989998,25874000,107.712919,99.55637228,104.954,110.3516277,Increasing
2023-04-04,110.419998,112.190002,110.269997,111.120003,37356200,108.81953,99.44575835,105.3781666,111.3105749,Increasing
2023-04-05,109.510002,110.730003,109.419998,109.809998,26578700,107.536645,99.75432671,105.7831665,111.8120063,Increasing
2023-04-06,110.230003,110.980003,109.199997,110.959999,26404100,108.662839,100.3118524,106.2489998,112.1861471,Increasing
2023-04-07,109.949997,110.419998,108.120003,108.540001,31801900,106.292941,101.1177046,106.6508331,112.1839617,Decreasing
2023-04-08,108.910004,109.769997,108.169998,108.660004,23581700,106.410459,102.0312098,107.0348331,112.0384565,Decreasing
2023-04-11,108.970001,110.610001,108.830002,109.019997,29407500,106.762999,102.8657093,107.4084998,111.9512903,Increasing
2023-04-12,109.339996,110.5,108.660004,110.440002,27232300,108.153607,103.7470523,107.7816666,111.8162808,Increasing
2023-04-13,110.800003,112.339996,110.800003,112.040001,33257300,109.720482,104.046322,108.1411666,112.2360111,Increasing
2023-04-14,111.620003,112.389999,111.330002,112.099998,25473900,109.779237,104.2158825,108.457,112.6981174,Increasing
2023-04-15,112.110001,112.300003,109.730003,109.849998,46939000,107.575818,104.5517928,108.7011666,112.8505405,Decreasing
2023-04-18,108.889999,108.949997,106.940002,107.480003,60834000,105.254888,104.8293735,108.7971667,112.7649599,Decreasing
2023-04-19,107.879997,108,106.230003,106.910004,32384900,104.696689,104.9603381,108.8378334,112.7153287,Decreasing
2023-04-20,106.639999,108.089996,106.059998,107.129997,30611000,104.912128,105.0699568,108.8721665,112.6743763,Increasing
2023-04-21,106.93,106.93,105.519997,105.970001,31552500,103.776147,105.0275935,108.8608332,112.6940728,Decreasing
2023-04-22,105.010002,106.480003,104.620003,105.68,33683100,103.492149,105.0253925,108.8603333,112.6952742,Increasing
2023-04-25,105,105.650002,104.510002,105.080002,28031600,102.904573,104.9316223,108.8403334,112.7490445,Increasing
2023-04-26,103.910004,105.300003,103.910004,104.349998,56016200,102.189682,104.4711595,108.7271669,112.9831742,Increasing
2023-04-27,96,98.709999,95.68,97.82,114602100,95.794871,101.6277845,108.1210003,114.614216,Increasing
2023-04-28,97.610001,97.879997,94.25,94.830002,82242700,92.866774,99.00626536,107.4408336,115.8754019,Decreasing
2023-04-29,93.989998,94.720001,92.510002,93.739998,68531500,91.799336,96.36305819,106.6538337,116.9446093,Decreasing
2023-05-02,93.970001,94.080002,92.400002,93.639999,48160100,91.701408,94.19229108,105.7628338,117.3333764,Decreasing
2023-05-03,94.199997,95.739998,93.68,95.18,56831300,93.209527,92.68739967,105.0068337,117.3262678,Increasing
2023-05-04,95.199997,95.900002,93.82,94.190002,41025500,92.240024,91.37350758,104.2196672,117.0658267,Decreasing
2023-05-05,94,94.07,92.68,93.239998,35890500,91.865625,89.95687082,103.4348338,116.9127967,Decreasing
2023-05-06,93.370003,93.449997,91.849998,92.720001,43458200,91.353293,88.61466144,102.625167,116.6356726,Decreasing
